,cause,num_incident
0,No mediate cause,2020S000001
1,No mediate cause,2020S000002
2,No mediate cause,2020S000003
3,No mediate cause,2020S000004
4,No mediate cause,2020S000005
5,No mediate cause,2020S000006
6,No mediate cause,2020S000007
7,No mediate cause,2020S000008
8,No mediate cause,2020S000009
9,No mediate cause,2020S000010
10,DrunkDriving,2020S000011
11,No mediate cause,2020S000012
12,No mediate cause,2020S000013
13,No mediate cause,2020S000014
14,No mediate cause,2020S000015
15,No mediate cause,2020S000016
16,No mediate cause,2020S000017
17,No mediate cause,2020S000018
18,No mediate cause,2020S000019
19,No mediate cause,2020S000020
20,No mediate cause,2020S000021
21,No mediate cause,2020S000022
22,No mediate cause,2020S000023
23,No mediate cause,2020S000024
24,No mediate cause,2020S000025
25,No mediate cause,2020S000026
26,No mediate cause,2020S000027
27,No mediate cause,2020S000028
28,No mediate cause,2020S000029
29,No mediate cause,2020S000030
30,No mediate cause,2020S000031
31,No mediate cause,2020S000032
32,No mediate cause,2020S000033
33,No mediate cause,2020S000034
34,No mediate cause,2020S000035
35,No mediate cause,2020S000036
36,No mediate cause,2020S000037
37,No mediate cause,2020S000038
38,No mediate cause,2020S000039
39,No mediate cause,2020S000040
40,No mediate cause,2020S000041
41,No mediate cause,2020S000042
42,No mediate cause,2020S000043
43,No mediate cause,2020S000044
44,No mediate cause,2020S000045
45,No mediate cause,2020S000046
46,No mediate cause,2020S000047
47,No mediate cause,2020S000048
48,No mediate cause,2020S000049
49,No mediate cause,2020S000050
50,Speeding,2020S000051
51,No mediate cause,2020S000052
52,DrunkDriving,2020S000053
53,No mediate cause,2020S000054
54,No mediate cause,2020S000055
55,Road_damaged,2020S000056
56,No mediate cause,2020S000057
57,No mediate cause,2020S000058
58,No mediate cause,2020S000059
59,No mediate cause,2020S000060
60,No mediate cause,2020S000061
61,DrunkDriving,2020S000062
62,No mediate cause,2020S000063
63,No mediate cause,2020S000064
64,No mediate cause,2020S000065
65,No mediate cause,2020S000066
66,No mediate cause,2020S000067
67,No mediate cause,2020S000068
68,DrunkDriving,2020S000069
69,No mediate cause,2020S000070
70,No mediate cause,2020S000071
71,DrunkDriving,2020S000072
72,No mediate cause,2020S000073
73,No mediate cause,2020S000074
74,No mediate cause,2020S000075
75,No mediate cause,2020S000076
76,No mediate cause,2020S000077
77,No mediate cause,2020S000078
78,No mediate cause,2020S000079
79,No mediate cause,2020S000080
80,No mediate cause,2020S000081
81,No mediate cause,2020S000082
82,No mediate cause,2020S000083
83,No mediate cause,2020S000084
84,No mediate cause,2020S000085
85,No mediate cause,2020S000086
86,No mediate cause,2020S000087
87,No mediate cause,2020S000088
88,DrunkDriving,2020S000089
89,No mediate cause,2020S000090
90,No mediate cause,2020S000091
91,No mediate cause,2020S000092
92,No mediate cause,2020S000093
93,No mediate cause,2020S000094
94,Speeding,2020S000095
95,No mediate cause,2020S000096
96,No mediate cause,2020S000097
97,No mediate cause,2020S000098
98,No mediate cause,2020S000099
99,No mediate cause,2020S000100
100,No mediate cause,2020S000101
101,No mediate cause,2020S000102
102,No mediate cause,2020S000103
103,No mediate cause,2020S000104
104,No mediate cause,2020S000105
105,No mediate cause,2020S000106
106,No mediate cause,2020S000107
107,No mediate cause,2020S000108
108,No mediate cause,2020S000109
109,No mediate cause,2020S000110
110,No mediate cause,2020S000111
111,No mediate cause,2020S000112
112,No mediate cause,2020S000113
113,Speeding,2020S000114
114,No mediate cause,2020S000115
115,No mediate cause,2020S000116
116,No mediate cause,2020S000117
117,No mediate cause,2020S000118
118,No mediate cause,2020S000119
119,No mediate cause,2020S000120
120,Road_damaged,2020S000121
121,No mediate cause,2020S000122
122,No mediate cause,2020S000123
123,No mediate cause,2020S000124
124,No mediate cause,2020S000125
125,No mediate cause,2020S000126
126,No mediate cause,2020S000127
127,No mediate cause,2020S000128
128,No mediate cause,2020S000129
129,No mediate cause,2020S000130
130,No mediate cause,2020S000131
131,No mediate cause,2020S000132
132,No mediate cause,2020S000133
133,No mediate cause,2020S000134
134,No mediate cause,2020S000135
135,No mediate cause,2020S000136
136,No mediate cause,2020S000137
137,No mediate cause,2020S000138
138,No mediate cause,2020S000139
139,No mediate cause,2020S000140
140,No mediate cause,2020S000141
141,No mediate cause,2020S000142
142,No mediate cause,2020S000143
143,No mediate cause,2020S000144
144,No mediate cause,2020S000145
145,No mediate cause,2020S000146
146,No mediate cause,2020S000147
147,DrunkDriving,2020S000148
148,No mediate cause,2020S000149
149,No mediate cause,2020S000150
150,No mediate cause,2020S000151
151,No mediate cause,2020S000152
152,No mediate cause,2020S000153
153,No mediate cause,2020S000154
154,No mediate cause,2020S000155
155,No mediate cause,2020S000156
156,No mediate cause,2020S000157
157,No mediate cause,2020S000158
158,No mediate cause,2020S000159
159,No mediate cause,2020S000160
160,No mediate cause,2020S000161
161,No mediate cause,2020S000162
162,No mediate cause,2020S000163
163,No mediate cause,2020S000164
164,No mediate cause,2020S000165
165,No mediate cause,2020S000166
166,No mediate cause,2020S000167
167,No mediate cause,2020S000168
168,No mediate cause,2020S000169
169,No mediate cause,2020S000170
170,No mediate cause,2020S000171
171,No mediate cause,2020S000172
172,No mediate cause,2020S000173
173,No mediate cause,2020S000174
174,No mediate cause,2020S000175
175,No mediate cause,2020S000176
176,No mediate cause,2020S000177
177,No mediate cause,2020S000178
178,No mediate cause,2020S000179
179,No mediate cause,2020S000180
