,num_incident,accident_type
0,2010S000001,frontal-lateral_collision
1,2010S000002,"fall--motorcycle,frontal-lateral_collision"
2,2010S000003,rear-end_collision
3,2010S000004,lateral_collision
4,2010S000005,crash_into_stationary
5,2010S000006,frontal-lateral_collision
6,2010S000007,frontal-lateral_collision
7,2010S000008,fall--motorcycle
8,2010S000009,frontal-lateral_collision
9,2010S000010,frontal-lateral_collision
10,2010S000011,crash_into_stationary
11,2010S000012,frontal-lateral_collision
12,2010S000013,frontal-lateral_collision
13,2010S000014,fall--motorcycle
14,2010S000015,frontal_collision
15,2010S000016,run_over
16,2010S000017,frontal-lateral_collision
17,2010S000018,frontal-lateral_collision
18,2010S000019,lateral_collision
19,2010S000020,lateral_collision
20,2010S000021,rear-end_collision
21,2010S000022,frontal-lateral_collision
22,2010S000023,frontal-lateral_collision
23,2010S000024,frontal-lateral_collision
24,2010S000025,frontal-lateral_collision
25,2010S000026,Other_types
26,2010S000027,lateral_collision
27,2010S000028,frontal-lateral_collision
28,2010S000029,frontal-lateral_collision
29,2010S000030,run_over
30,2010S000031,run_over
31,2010S000032,"rear-end_collision,lateral_collision"
32,2010S000033,multiple_rear-end_collision
33,2010S000034,run_over
34,2010S000035,crash_into_stationary
35,2010S000036,frontal-lateral_collision
36,2010S000037,frontal-lateral_collision
37,2010S000038,rear-end_collision
38,2010S000039,rear-end_collision
39,2010S000040,lateral_collision
40,2010S000041,lateral_collision
41,2010S000042,"lateral_collision,rear-end_collision"
42,2010S000043,multiple_rear-end_collision
43,2010S000044,run_over
44,2010S000045,lateral_collision
45,2010S000046,lateral_collision
46,2010S000047,fall--motorcycle
47,2010S000048,lateral_collision
48,2010S000049,frontal-lateral_collision
49,2010S000050,lateral_collision
50,2010S000051,rear-end_collision
51,2010S000052,lateral_collision
52,2010S000053,lateral_collision
53,2010S000054,run_over
54,2010S000055,frontal-lateral_collision
55,2010S000056,fall--motorcycle
56,2010S000057,run_over
57,2010S000058,frontal-lateral_collision
58,2010S000059,rear-end_collision
59,2010S000060,frontal_collision
60,2010S000061,rear-end_collision
61,2010S000062,crash_into_stationary
62,2010S000063,lateral_collision
63,2010S000064,fall--motorcycle
64,2010S000065,rear-end_collision
65,2010S000066,Other_types
66,2010S000067,"fall--motorcycle,rear-end_collision"
67,2010S000068,rear-end_collision
68,2010S000069,rear-end_collision
69,2010S000070,Other_types
70,2010S000071,run_over
71,2010S000072,lateral_collision
72,2010S000073,run_over
73,2010S000074,frontal-lateral_collision
74,2010S000075,frontal-lateral_collision
75,2010S000076,fall--motorcycle
76,2010S000077,rear-end_collision
77,2010S000078,"fall--motorcycle,rear-end_collision"
78,2010S000079,frontal-lateral_collision
79,2010S000080,lateral_collision
80,2010S000081,rear-end_collision
81,2010S000082,rear-end_collision
82,2010S000083,Other_types
83,2010S000084,frontal-lateral_collision
84,2010S000085,fall--motorcycle
85,2010S000086,run_over
86,2010S000087,frontal-lateral_collision
87,2010S000088,frontal-lateral_collision
88,2010S000089,rear-end_collision
89,2010S000090,fall--motorcycle
90,2010S000091,frontal-lateral_collision
91,2010S000092,crash_into_stationary
92,2010S000093,frontal-lateral_collision
93,2010S000094,"lateral_collision,Other_types,run_over"
94,2010S000095,rear-end_collision
95,2010S000096,"lateral_collision,frontal-lateral_collision"
96,2010S000097,rear-end_collision
97,2010S000098,frontal-lateral_collision
98,2010S000099,multiple_rear-end_collision
99,2010S000100,frontal-lateral_collision
100,2010S000101,frontal-lateral_collision
101,2010S000102,"frontal-lateral_collision,lateral_collision"
102,2010S000103,lateral_collision
103,2010S000104,frontal-lateral_collision
104,2010S000105,frontal-lateral_collision
105,2010S000106,multiple_rear-end_collision
106,2010S000107,lateral_collision
107,2010S000108,rear-end_collision
108,2010S000109,frontal-lateral_collision
109,2010S000110,run_over
110,2010S000111,rear-end_collision
111,2010S000112,fall_inside_vehicle
112,2010S000113,frontal-lateral_collision
113,2010S000114,frontal-lateral_collision
114,2010S000115,rear-end_collision
115,2010S000116,run_over
116,2010S000117,crash_into_stationary
117,2010S000118,run_over
118,2010S000119,frontal-lateral_collision
119,2010S000120,fall--motorcycle
120,2010S000121,fall_inside_vehicle
121,2010S000122,frontal-lateral_collision
122,2010S000123,frontal-lateral_collision
123,2010S000124,lateral_collision
124,2010S000125,multiple_rear-end_collision
125,2010S000126,fall--motorcycle
126,2010S000127,frontal-lateral_collision
127,2010S000128,frontal-lateral_collision
128,2010S000129,frontal-lateral_collision
129,2010S000130,lateral_collision
130,2010S000131,frontal-lateral_collision
131,2010S000132,fall--motorcycle
132,2010S000133,lateral_collision
133,2010S000134,lateral_collision
134,2010S000135,rear-end_collision
135,2010S000136,lateral_collision
136,2010S000137,crash_into_stationary
137,2010S000138,frontal-lateral_collision
138,2010S000139,frontal-lateral_collision
139,2010S000140,multiple_rear-end_collision
140,2010S000141,rear-end_collision
141,2010S000142,fall--motorcycle
142,2010S000143,lateral_collision
143,2010S000144,rear-end_collision
144,2010S000145,rear-end_collision
145,2010S000146,multiple_rear-end_collision
146,2010S000147,frontal-lateral_collision
147,2010S000148,run_over
148,2010S000149,lateral_collision
149,2010S000150,lateral_collision
150,2010S000151,frontal-lateral_collision
151,2010S000152,frontal-lateral_collision
152,2010S000153,lateral_collision
153,2010S000154,rear-end_collision
154,2010S000155,frontal-lateral_collision
155,2010S000156,crash_into_stationary
156,2010S000157,frontal-lateral_collision
157,2010S000158,frontal-lateral_collision
158,2010S000159,lateral_collision
159,2010S000160,fall--motorcycle
160,2010S000161,run_over
161,2010S000162,frontal-lateral_collision
162,2010S000163,rear-end_collision
163,2010S000164,frontal-lateral_collision
164,2010S000165,run_over
165,2010S000166,frontal-lateral_collision
166,2010S000167,lateral_collision
167,2010S000168,frontal-lateral_collision
168,2010S000169,lateral_collision
169,2010S000170,fall--motorcycle
170,2010S000171,lateral_collision
171,2010S000172,frontal-lateral_collision
172,2010S000173,frontal-lateral_collision
173,2010S000174,lateral_collision
174,2010S000175,lateral_collision
175,2010S000176,frontal_collision
176,2010S000177,run_over
177,2010S000178,rear-end_collision
178,2010S000179,fall_inside_vehicle
179,2010S000180,rear-end_collision
180,2010S000181,run_over
181,2010S000182,fall_inside_vehicle
182,2010S000183,frontal-lateral_collision
183,2010S000184,run_over
184,2010S000185,crash_into_stationary
185,2010S000186,fall--motorcycle
186,2010S000187,rear-end_collision
187,2010S000188,rear-end_collision
188,2010S000189,frontal_collision
189,2010S000190,frontal-lateral_collision
190,2010S000191,frontal_collision
191,2010S000192,run_over
192,2010S000193,frontal-lateral_collision
193,2010S000194,lateral_collision
194,2010S000195,multiple_rear-end_collision
195,2010S000196,"Other_types,fall--motorcycle"
196,2010S000197,rear-end_collision
197,2010S000198,multiple_rear-end_collision
198,2010S000199,crash_into_stationary
199,2010S000200,rear-end_collision
200,2010S000201,crash_into_stationary
201,2010S000202,rear-end_collision
202,2010S000203,frontal-lateral_collision
203,2010S000204,run_over
204,2010S000205,lateral_collision
205,2010S000206,"frontal-lateral_collision,fall--motorcycle"
206,2010S000207,lateral_collision
207,2010S000208,lateral_collision
208,2010S000209,frontal-lateral_collision
209,2010S000210,frontal-lateral_collision
210,2010S000211,frontal-lateral_collision
211,2010S000212,fall--motorcycle
212,2010S000213,frontal-lateral_collision
213,2010S000214,fall--motorcycle
214,2010S000215,frontal-lateral_collision
215,2010S000216,frontal-lateral_collision
216,2010S000217,rear-end_collision
217,2010S000218,run_over
218,2010S000219,lateral_collision
219,2010S000220,rear-end_collision
220,2010S000221,Other_types
221,2010S000222,frontal-lateral_collision
222,2010S000223,lateral_collision
223,2010S000224,rear-end_collision
224,2010S000225,run_over
225,2010S000226,Other_types
226,2010S000227,multiple_rear-end_collision
227,2010S000228,crash_into_stationary
228,2010S000229,fall--motorcycle
229,2010S000230,crash_into_stationary
230,2010S000231,fall_inside_vehicle
231,2010S000232,frontal_collision
232,2010S000233,Other_types
233,2010S000234,rear-end_collision
234,2010S000235,lateral_collision
