,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,solar,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,53.73,0.19,39.31,0.58,partly-cloudy-night,0,0,,,,Partly Cloudy,53.73,2010-01-01 00:00:00,0,6.216,310,15.5,11.58
1,52.88,0.19,35.46,0.51,partly-cloudy-night,0,0,,995.61,,Partly Cloudy,52.88,2010-01-01 01:00:00,0,6.216,261,17.0,8.92
2,51.34,0.19,34.13,0.52,partly-cloudy-night,0,0,,,,Partly Cloudy,51.34,2010-01-01 02:00:00,0,6.216,280,19.49,9.17
3,50.69,0.19,33.0,0.51,partly-cloudy-night,0,0,,,,Partly Cloudy,50.69,2010-01-01 03:00:00,0,6.216,292,23.99,14.0
4,50.69,0.19,32.31,0.49,partly-cloudy-night,0,0,,996.9,,Partly Cloudy,50.69,2010-01-01 04:00:00,0,6.216,307,28.77,15.3
5,43.75,0.19,32.28,0.52,partly-cloudy-night,0,0,,,,Partly Cloudy,49.15,2010-01-01 05:00:00,0,6.216,282,27.62,14.2
6,44.43,0.44,31.82,0.54,partly-cloudy-night,0,0,,,,Partly Cloudy,47.72,2010-01-01 06:00:00,0,6.216,277,20.98,7.01
7,43.77,0.19,29.99,0.5,partly-cloudy-night,0,0,,998.6,,Partly Cloudy,47.72,2010-01-01 07:00:00,0,6.216,269,18.99,8.51
8,44.14,0.19,28.04,0.46,partly-cloudy-night,0,0,,,,Partly Cloudy,47.95,2010-01-01 08:00:00,0,6.216,247,17.48,8.32
9,43.97,0.19,28.94,0.47,partly-cloudy-day,0,0,,,"{'azimuth': 128, 'altitude': 6, 'dni': 252.5, 'ghi': 27.8, 'dhi': 2.5, 'etr': 1407.4}",Partly Cloudy,48.36,2010-01-01 09:00:00,0,6.216,261,19.99,10.09
10,51.23,0.19,29.38,0.43,partly-cloudy-day,0,0,,1000.4,"{'azimuth': 139, 'altitude': 14, 'dni': 524.3, 'ghi': 138.9, 'dhi': 12.6, 'etr': 1407.4}",Partly Cloudy,51.23,2010-01-01 10:00:00,0,6.216,286,24.52,13.25
11,53.07,0.19,30.01,0.41,partly-cloudy-day,0,0,,,"{'azimuth': 152, 'altitude': 20, 'dni': 641.1, 'ghi': 244.9, 'dhi': 22.3, 'etr': 1407.4}",Partly Cloudy,53.07,2010-01-01 11:00:00,1,6.216,320,21.96,9.03
12,54.0,0.19,30.73,0.41,partly-cloudy-day,0,0,,,"{'azimuth': 166, 'altitude': 24, 'dni': 693.8, 'ghi': 314.8, 'dhi': 28.6, 'etr': 1407.4}",Partly Cloudy,54.0,2010-01-01 12:00:00,1,6.216,299,32.09,18.66
13,54.18,0.19,30.33,0.4,partly-cloudy-day,0,0,,1001.4,"{'azimuth': 181, 'altitude': 26, 'dni': 707.6, 'ghi': 336.4, 'dhi': 30.6, 'etr': 1407.4}",Partly Cloudy,54.18,2010-01-01 13:00:00,2,6.216,307,31.05,14.66
14,54.91,0.19,31.57,0.41,partly-cloudy-day,0,0,,,"{'azimuth': 196, 'altitude': 24, 'dni': 688, 'ghi': 306.3, 'dhi': 27.8, 'etr': 1407.4}",Partly Cloudy,54.91,2010-01-01 14:00:00,1,6.216,280,32.11,17.97
15,55.55,0.19,32.75,0.42,partly-cloudy-day,0,0,,,"{'azimuth': 210, 'altitude': 19, 'dni': 627.2, 'ghi': 229.2, 'dhi': 20.8, 'etr': 1407.4}",Partly Cloudy,55.55,2010-01-01 15:00:00,1,6.216,288,16.99,11.62
16,55.84,0.19,32.17,0.41,partly-cloudy-day,0,0,,,"{'azimuth': 223, 'altitude': 13, 'dni': 494.1, 'ghi': 119.2, 'dhi': 10.8, 'etr': 1407.4}",Partly Cloudy,55.84,2010-01-01 16:00:00,0,6.216,280,24.07,11.09
17,55.83,0.19,33.08,0.42,partly-cloudy-day,0,0,,,"{'azimuth': 234, 'altitude': 4, 'dni': 175.8, 'ghi': 14.3, 'dhi': 1.3, 'etr': 1407.4}",Partly Cloudy,55.83,2010-01-01 17:00:00,0,6.216,281,18.0,17.55
18,54.2,0.19,33.49,0.45,partly-cloudy-night,0,0,,,,Partly Cloudy,54.2,2010-01-01 18:00:00,0,6.216,280,23.54,12.78
19,52.23,0.19,33.89,0.5,partly-cloudy-night,0,0,,,,Partly Cloudy,52.23,2010-01-01 19:00:00,0,6.216,303,14.99,8.47
20,51.34,0.19,34.32,0.52,partly-cloudy-night,0,0,,,,Partly Cloudy,51.34,2010-01-01 20:00:00,0,6.216,310,16.0,7.51
21,51.93,0.19,35.31,0.53,partly-cloudy-night,0,0,,,,Partly Cloudy,51.93,2010-01-01 21:00:00,0,6.216,282,15.5,9.62
22,50.69,0.19,35.95,0.57,partly-cloudy-night,0,0,,,,Partly Cloudy,50.69,2010-01-01 22:00:00,0,6.216,292,15.99,13.23
23,50.99,,35.59,0.55,clear-night,0,0,,,,Clear,50.99,2010-01-01 23:00:00,0,,330,19.99,6.0
24,45.97,,35.82,0.61,clear-night,0,0,,,,Clear,48.82,2010-01-02 00:00:00,0,,309,12.5,6.58
25,46.67,,36.02,0.61,clear-night,0,0,,,,Clear,48.82,2010-01-02 01:00:00,0,,319,14.51,5.26
26,45.42,,35.9,0.62,clear-night,0,0,,,,Clear,48.5,2010-01-02 02:00:00,0,,315,9.0,6.92
27,43.06,,35.26,0.64,clear-night,0,0,,,,Clear,46.96,2010-01-02 03:00:00,0,,306,9.0,8.03
28,44.18,,34.86,0.66,clear-night,0,0,,,,Clear,45.75,2010-01-02 04:00:00,0,,322,9.98,3.74
29,45.81,,34.21,0.59,clear-night,0,0,,,,Clear,47.64,2010-01-02 05:00:00,0,,302,8.99,4.45
30,44.53,,34.37,0.67,clear-night,0,0,,,,Clear,44.53,2010-01-02 06:00:00,0,,317,10.99,2.17
31,40.23,,34.0,0.67,clear-night,0,0,,,,Clear,44.21,2010-01-02 07:00:00,0,,334,12.49,6.96
32,41.16,,33.41,0.64,clear-night,0,0,,,,Clear,45.0,2010-01-02 08:00:00,0,,299,12.99,7.01
33,43.31,,33.99,0.61,clear-day,0,0,,,"{'azimuth': 128, 'altitude': 6, 'etr': 1407.4}",Clear,46.65,2010-01-02 09:00:00,,,299,15.49,6.68
34,41.66,0.25,34.39,0.63,partly-cloudy-day,0,0,,1016.29,"{'azimuth': 139, 'altitude': 14, 'dni': 508.2, 'ghi': 134.7, 'dhi': 12.2, 'etr': 1407.4}",Partly Cloudy,46.11,2010-01-02 10:00:00,0,,296,12.0,8.85
35,50.67,,36.55,0.58,clear-day,0,0,,1016.19,"{'azimuth': 152, 'altitude': 20, 'etr': 1407.4}",Clear,50.67,2010-01-02 11:00:00,,10.0,302,10.51,4.38
36,51.17,,36.57,0.57,clear-day,0,0,,1016.19,"{'azimuth': 166, 'altitude': 24, 'etr': 1407.4}",Clear,51.17,2010-01-02 12:00:00,,10.0,243,26.0,5.07
37,51.62,0.19,35.03,0.53,partly-cloudy-day,0,0,,1017.38,"{'azimuth': 181, 'altitude': 26, 'dni': 708.6, 'ghi': 337.9, 'dhi': 30.7, 'etr': 1407.4}",Partly Cloudy,51.62,2010-01-02 13:00:00,2,6.216,291,22.0,2.82
38,51.42,0.19,36.51,0.57,partly-cloudy-day,0,0,,,"{'azimuth': 196, 'altitude': 24, 'dni': 689.3, 'ghi': 308.2, 'dhi': 28, 'etr': 1407.4}",Partly Cloudy,51.42,2010-01-02 14:00:00,1,6.216,327,12.01,1.69
