,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,solar,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,50.1,0,29.97,0.46,clear-night,292,0,0,,1029.6,,Clear,50.1,2019-01-01 00:00:00,0,10,317,6.03,5.87
1,51.71,0,28.82,0.41,clear-night,286.8,0,0,,1028.6,,Clear,51.71,2019-01-01 01:00:00,0,10,311,5.77,5.42
2,51.13,0,29.27,0.43,clear-night,285.6,0,0,,1028.6,,Clear,51.13,2019-01-01 02:00:00,0,10,341,5.29,4.79
3,50.28,0,30.33,0.46,clear-night,285.1,0,0,,1028.2,,Clear,50.28,2019-01-01 03:00:00,0,10,22,4.76,3.95
4,48.69,0,31.66,0.5,clear-night,284.6,0,0,,1028.4,,Clear,49.45,2019-01-01 04:00:00,0,10,44,4.47,3.42
5,47.67,0,33.21,0.55,clear-night,284,0,0,,1028.6,,Clear,48.5,2019-01-01 05:00:00,0,10,58,4.46,3.34
6,46.55,0,34.67,0.61,clear-night,283.6,0,0,,1029.0,,Clear,47.62,2019-01-01 06:00:00,0,10,70,4.84,3.47
7,45.38,0,35.24,0.62,clear-night,282.6,0,0,,1029.5,,Clear,47.44,2019-01-01 07:00:00,0,10,40,7.17,4.75
8,45.52,0,36.45,0.65,clear-night,281.9,0,0,,1030.1,,Clear,47.7,2019-01-01 08:00:00,0,10,44,7.27,4.99
9,46.8,0,37.52,0.65,clear-day,281.2,0,0,,1030.6,"{'azimuth': 128, 'altitude': 6, 'dni': 269.9, 'ghi': 29.8, 'dhi': 2.7, 'etr': 1407.4}",Clear,48.77,2019-01-01 09:00:00,0,10,42,6.98,4.95
10,50.74,0.01,39.24,0.65,clear-day,280.4,0,0,,1030.8,"{'azimuth': 139, 'altitude': 14, 'dni': 559.4, 'ghi': 148.2, 'dhi': 13.5, 'etr': 1407.4}",Clear,50.74,2019-01-01 10:00:00,0,10,45,6.54,4.77
11,53.58,0.01,41.23,0.63,clear-day,279.3,0,0,,1030.9,"{'azimuth': 152, 'altitude': 20, 'dni': 684, 'ghi': 261.2, 'dhi': 23.7, 'etr': 1407.4}",Clear,53.58,2019-01-01 11:00:00,1,10,55,5.94,4.69
12,57.15,0.01,43.5,0.6,clear-day,278.2,0,0,,1030.9,"{'azimuth': 166, 'altitude': 24, 'dni': 740.1, 'ghi': 335.7, 'dhi': 30.5, 'etr': 1407.4}",Clear,57.15,2019-01-01 12:00:00,2,10,71,5.67,4.45
13,59.49,0.01,44.73,0.58,clear-day,277,0,0,,1030.6,"{'azimuth': 181, 'altitude': 26, 'dni': 754.8, 'ghi': 358.6, 'dhi': 32.6, 'etr': 1407.4}",Clear,59.49,2019-01-01 13:00:00,2,10,86,4.76,3.83
14,60.74,0.01,45.62,0.57,clear-day,275.8,0,0,,1030.2,"{'azimuth': 196, 'altitude': 24, 'dni': 733.8, 'ghi': 326.4, 'dhi': 29.7, 'etr': 1407.4}",Clear,60.74,2019-01-01 14:00:00,2,10,99,4.56,4.14
15,60.68,0.01,45.79,0.58,clear-day,274.8,0,0,,1029.7,"{'azimuth': 210, 'altitude': 19, 'dni': 668.8, 'ghi': 244.1, 'dhi': 22.2, 'etr': 1407.4}",Clear,60.68,2019-01-01 15:00:00,1,10,108,5.01,4.82
16,58.94,0.01,45.42,0.61,clear-day,273.8,0,0,,1029.4,"{'azimuth': 223, 'altitude': 13, 'dni': 525.7, 'ghi': 126.6, 'dhi': 11.5, 'etr': 1407.4}",Clear,58.94,2019-01-01 16:00:00,0,10,118,5.15,5.05
17,57.36,0.01,44.89,0.63,clear-day,272.9,0,0,,1029.3,"{'azimuth': 234, 'altitude': 4, 'dni': 185.7, 'ghi': 15, 'dhi': 1.4, 'etr': 1407.4}",Clear,57.36,2019-01-01 17:00:00,0,10,128,4.56,4.47
18,55.13,0.02,43.83,0.66,clear-night,272,0,0,,1029.3,,Clear,55.13,2019-01-01 18:00:00,0,10,133,3.71,3.45
19,53.24,0.02,42.49,0.67,clear-night,270.6,0,0,,1029.6,,Clear,53.24,2019-01-01 19:00:00,0,10,145,3.24,3.1
20,51.93,0.03,41.37,0.67,clear-night,270,0,0,,1029.5,,Clear,51.93,2019-01-01 20:00:00,0,10,155,3.07,2.86
21,50.7,0.02,39.98,0.67,clear-night,269.6,0,0,,1029.3,,Clear,50.7,2019-01-01 21:00:00,0,10,326,3.09,2.96
22,48.65,0.01,38.33,0.66,clear-night,269.1,0,0,,1029.1,,Clear,49.29,2019-01-01 22:00:00,0,10,293,3.37,3.25
23,46.77,0.01,37.15,0.66,clear-night,268.6,0,0,,1028.8,,Clear,48.03,2019-01-01 23:00:00,0,10,256,4.07,3.78
24,45.25,0,36.17,0.66,clear-night,268,0,0,,1028.6,,Clear,47.08,2019-01-02 00:00:00,0,10,345,5.04,4.33
25,44.53,0,31.43,0.54,clear-night,265.7,0,0,,1028.2,,Clear,47.2,2019-01-02 01:00:00,0,10,313,8.52,5.66
26,43.29,0,30.31,0.53,clear-night,265.7,0,0,,1027.7,,Clear,46.44,2019-01-02 02:00:00,0,10,305,8.95,6.26
27,42.08,0,30.05,0.54,clear-night,266.3,0,0,,1026.8,,Clear,45.53,2019-01-02 03:00:00,0,10,315,8.77,6.49
28,40.7,0,29.91,0.56,clear-night,267,0,0,,1026.4,,Clear,44.45,2019-01-02 04:00:00,0,10,325,8.51,6.62
29,39.85,0,29.95,0.58,clear-night,267.9,0,0,,1026.2,,Clear,43.73,2019-01-02 05:00:00,0,10,335,8.17,6.61
30,39.27,0,30.19,0.6,clear-night,269,0,0,,1026.2,,Clear,43.2,2019-01-02 06:00:00,0,10,348,7.62,6.51
31,38.81,0,30.33,0.6,clear-night,269.5,0,0,,1026.2,,Clear,43.4,2019-01-02 07:00:00,0,10,350,10.93,7.82
32,39.92,0,30.59,0.59,clear-night,270.4,0,0,,1026.4,,Clear,44.18,2019-01-02 08:00:00,0,10,352,9.98,7.49
33,42.02,0,30.94,0.56,clear-day,271.4,0,0,,1027.2,"{'azimuth': 128, 'altitude': 6, 'dni': 269.6, 'ghi': 29.7, 'dhi': 2.7, 'etr': 1407.4}",Clear,45.65,2019-01-02 09:00:00,0,10,353,8.66,6.87
34,44.66,0,31.55,0.54,clear-day,272.5,0,0,,1027.5,"{'azimuth': 139, 'altitude': 14, 'dni': 560.8, 'ghi': 148.7, 'dhi': 13.5, 'etr': 1407.4}",Clear,47.56,2019-01-02 10:00:00,0,10,350,7.3,6.2
35,50.3,0,32.64,0.51,clear-day,274,0,0,,1027.5,"{'azimuth': 152, 'altitude': 20, 'dni': 685.2, 'ghi': 262.2, 'dhi': 23.8, 'etr': 1407.4}",Clear,50.3,2019-01-02 11:00:00,1,10,344,5.68,5.32
36,53.38,0,34.23,0.48,clear-day,275.8,0,0,,1027.1,"{'azimuth': 166, 'altitude': 24, 'dni': 741.5, 'ghi': 337.2, 'dhi': 30.7, 'etr': 1407.4}",Clear,53.38,2019-01-02 12:00:00,2,10,336,5.0,4.21
37,56.96,0,29.7,0.35,clear-day,275.4,0,0,,1026.2,"{'azimuth': 181, 'altitude': 26, 'dni': 756.5, 'ghi': 360.6, 'dhi': 32.8, 'etr': 1407.4}",Clear,56.96,2019-01-02 13:00:00,2,10,322,4.29,3.72
38,58.95,0,31.04,0.35,clear-day,275.7,0,0,,1026.2,"{'azimuth': 196, 'altitude': 24, 'dni': 736.5, 'ghi': 329.1, 'dhi': 29.9, 'etr': 1407.4}",Clear,58.95,2019-01-02 14:00:00,2,10,316,4.57,3.76
39,60.13,0,33.12,0.36,clear-day,275.7,0,0,,1026.3,"{'azimuth': 210, 'altitude': 19, 'dni': 672.1, 'ghi': 246.8, 'dhi': 22.4, 'etr': 1407.4}",Clear,60.13,2019-01-02 15:00:00,1,10,314,4.94,4.23
