,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,solar
0,2020-01-01 00:00:00,Clear,clear-night,0,0,47.18,44.08,34.83,0.62,1032.2,6.44,7.28,345,0.09,0,10,310,,
1,2020-01-01 01:00:00,Clear,clear-night,0,0,46.47,43.4,33.21,0.6,1032.2,6.12,6.52,303,0.06,0,10,306.3,,
2,2020-01-01 02:00:00,Clear,clear-night,0,0,45.79,42.8,33.15,0.61,1031.8,5.75,5.93,298,0.04,0,10,306.8,,
3,2020-01-01 03:00:00,Clear,clear-night,0,0,45.08,42.21,33.27,0.63,1031.3,5.34,5.45,309,0.02,0,10,307.6,,
4,2020-01-01 04:00:00,Clear,clear-night,0,0,44.34,41.58,33.35,0.65,1031.0,4.98,5.15,323,0.0,0,10,308.2,,
5,2020-01-01 05:00:00,Clear,clear-night,0,0,43.63,40.81,33.2,0.66,1031.0,4.9,4.94,330,0.0,0,10,307.8,,
6,2020-01-01 06:00:00,Clear,clear-night,0,0,43.08,40.22,32.9,0.67,1031.2,4.83,4.83,339,0.0,0,10,307,,
7,2020-01-01 07:00:00,Clear,clear-night,0,0,43.22,40.5,32.8,0.66,1031.7,4.67,4.67,330,0.0,0,10,304.3,,
8,2020-01-01 08:00:00,Clear,clear-night,0,0,43.27,40.4,32.48,0.65,1031.8,4.88,4.88,330,0.0,0,10,304.9,,
9,2020-01-01 09:00:00,Clear,clear-day,0.0002,0.02,43.68,40.6,32.36,0.64,1032.0,5.28,5.28,328,0.0,0,10,306.3,rain,"{'azimuth': 128, 'altitude': 6, 'dni': 270, 'ghi': 29.8, 'dhi': 2.7, 'etr': 1407.4}"
10,2020-01-01 10:00:00,Clear,clear-day,0.0002,0.02,45.04,42.27,33.07,0.63,1032.2,5.18,5.18,334,0.0,0,10,307.2,rain,"{'azimuth': 139, 'altitude': 14, 'dni': 559.9, 'ghi': 148.3, 'dhi': 13.5, 'etr': 1407.4}"
11,2020-01-01 11:00:00,Clear,clear-day,0,0,47.78,46.16,34.46,0.6,1032.2,4.19,4.23,352,0.0,1,10,307,,"{'azimuth': 152, 'altitude': 20, 'dni': 684.5, 'ghi': 261.3, 'dhi': 23.8, 'etr': 1407.4}"
12,2020-01-01 12:00:00,Clear,clear-day,0,0,51.29,51.29,35.52,0.55,1032.6,2.8,3.27,336,0.0,1,10,306.4,,"{'azimuth': 166, 'altitude': 24, 'dni': 740.5, 'ghi': 335.7, 'dhi': 30.5, 'etr': 1407.4}"
13,2020-01-01 13:00:00,Clear,clear-day,0,0,54.02,54.02,36.9,0.52,1032.4,1.95,2.25,163,0.06,2,10,317,,"{'azimuth': 181, 'altitude': 26, 'dni': 742.9, 'ghi': 352.7, 'dhi': 32.1, 'etr': 1407.4}"
14,2020-01-01 14:00:00,Partly Cloudy,partly-cloudy-day,0,0,55.11,55.11,37.32,0.51,1032.0,2.04,2.15,172,0.34,1,10,317.3,,"{'azimuth': 196, 'altitude': 24, 'dni': 630.6, 'ghi': 280.2, 'dhi': 25.5, 'etr': 1407.4}"
15,2020-01-01 15:00:00,Mostly Cloudy,partly-cloudy-day,0,0,55.17,55.17,37.68,0.52,1031.0,2.64,2.77,155,0.71,1,10,316.4,,"{'azimuth': 210, 'altitude': 19, 'dni': 380.1, 'ghi': 138.5, 'dhi': 12.6, 'etr': 1407.4}"
16,2020-01-01 16:00:00,Overcast,cloudy,0,0,53.62,53.62,37.94,0.55,1030.4,3.0,3.09,141,0.98,0,10,316.5,,"{'azimuth': 223, 'altitude': 13, 'dni': 142.1, 'ghi': 34.1, 'dhi': 3.1, 'etr': 1407.4}"
17,2020-01-01 17:00:00,Overcast,cloudy,0,0,52.63,52.63,37.73,0.57,1030.8,2.59,2.69,130,0.98,0,10,319,,"{'azimuth': 234, 'altitude': 4, 'dni': 49.8, 'ghi': 4, 'dhi': 0.4, 'etr': 1407.4}"
18,2020-01-01 18:00:00,Overcast,cloudy,0,0,51.37,51.37,37.27,0.58,1031.4,1.93,2.16,109,0.98,0,10,322.5,,
19,2020-01-01 19:00:00,Overcast,cloudy,0,0,50.18,50.18,36.84,0.6,1031.9,1.63,2.31,76,0.99,0,10,324.2,,
20,2020-01-01 20:00:00,Overcast,cloudy,0,0,49.27,49.27,36.22,0.61,1032.1,1.9,2.05,52,0.99,0,10,324.7,,
21,2020-01-01 21:00:00,Overcast,cloudy,0,0,48.72,48.72,35.79,0.61,1031.8,2.5,2.5,17,0.99,0,10,324.4,,
22,2020-01-01 22:00:00,Overcast,cloudy,0,0,48.19,47.62,35.56,0.61,1031.6,3.01,3.01,355,0.99,0,10,324.2,,
23,2020-01-01 23:00:00,Overcast,cloudy,0,0,47.45,46.49,35.09,0.62,1031.8,3.32,3.32,338,0.98,0,10,325.2,,
0,2020-01-02 00:00:00,Overcast,cloudy,0,0,46.66,45.22,34.26,0.62,1031.9,3.74,3.74,326,0.97,0,10,326.2,,
1,2020-01-02 01:00:00,Overcast,cloudy,0,0,45.95,44.26,33.62,0.62,1031.8,3.91,3.91,319,0.9,0,10,326.3,,
2,2020-01-02 02:00:00,Mostly Cloudy,partly-cloudy-night,0,0,45.47,43.47,34.06,0.64,1031.6,4.2,4.2,297,0.62,0,10,325.7,,
3,2020-01-02 03:00:00,Clear,clear-night,0,0,44.67,42.57,33.94,0.66,1030.8,4.17,4.17,304,0.24,0,10,323.2,,
4,2020-01-02 04:00:00,Clear,clear-night,0.0003,0.01,44.0,41.78,33.86,0.67,1030.6,4.2,4.2,312,0.0,0,10,320.5,rain,
5,2020-01-02 05:00:00,Clear,clear-night,0.0002,0.01,43.35,41.03,33.52,0.68,1030.7,4.19,4.19,334,0.03,0,10,317.7,rain,
6,2020-01-02 06:00:00,Clear,clear-night,0,0,42.82,40.27,33.1,0.68,1031.0,4.36,4.36,299,0.18,0,10,314.7,,
7,2020-01-02 07:00:00,Partly Cloudy,partly-cloudy-night,0,0,43.01,40.26,32.63,0.67,1031.5,4.67,4.89,304,0.33,0,10,312.5,,
8,2020-01-02 08:00:00,Partly Cloudy,partly-cloudy-night,0,0,43.09,40.2,32.37,0.66,1031.5,4.86,5.61,294,0.47,0,10,310.6,,
9,2020-01-02 09:00:00,Mostly Cloudy,partly-cloudy-day,0.0002,0.01,43.49,40.55,32.49,0.65,1031.7,5.02,6.05,296,0.62,0,10,309.2,rain,"{'azimuth': 128, 'altitude': 6, 'dni': 176.4, 'ghi': 19.5, 'dhi': 1.8, 'etr': 1407.4}"
10,2020-01-02 10:00:00,Mostly Cloudy,partly-cloudy-day,0.0003,0.02,44.65,41.69,33.52,0.65,1031.8,5.36,6.57,297,0.7,0,10,308.3,rain,"{'azimuth': 139, 'altitude': 14, 'dni': 323.5, 'ghi': 85.7, 'dhi': 7.8, 'etr': 1407.4}"
11,2020-01-02 11:00:00,Mostly Cloudy,partly-cloudy-day,0.0003,0.03,47.07,44.24,35.37,0.64,1031.6,5.89,7.78,352,0.68,1,10,308.0,rain,"{'azimuth': 152, 'altitude': 20, 'dni': 413.2, 'ghi': 158, 'dhi': 14.4, 'etr': 1407.4}"
12,2020-01-02 12:00:00,Partly Cloudy,partly-cloudy-day,0.0002,0.03,50.27,50.27,37.49,0.61,1031.3,6.65,9.15,188,0.58,1,10,308.3,rain,"{'azimuth': 166, 'altitude': 24, 'dni': 507.1, 'ghi': 230.5, 'dhi': 21, 'etr': 1407.4}"
13,2020-01-02 13:00:00,Partly Cloudy,partly-cloudy-day,0.0002,0.02,53.14,53.14,39.12,0.59,1030.9,7.42,10.71,253,0.48,2,10,308.6,rain,"{'azimuth': 181, 'altitude': 26, 'dni': 577.5, 'ghi': 275.1, 'dhi': 25, 'etr': 1407.4}"
